+--------------------------+---------------------------------------------+
| NAME                     | TBL_NAME                                    |
| trusted_cdr              | annulation_credit                           |
| trusted_om               | apgl                                        |
| transient_om             | apgl                                        |
| fms                      | arax                                        |
| trusted_fms              | araxxe                                      |
| fms                      | arnaque                                     |
| reporting_dashboard      | assiette_digitale                           |
| analytics                | aupu_decembre                               |
| analytics                | autre_msisdn                                |
| crt                      | autresnm                                    |
| analytics                | aw_30j_au03oct2021_algo_dbm                 |
| analytics                | aw_sept_07dec_2021_dbm                      |
| analytics                | aw_sept_07dec_2021_dmgp                     |
| analytics                | aw_sept_21oct_2021_dbm                      |
| analytics                | aw_sept_21oct_2021_dmgp                     |
| analytics                | aw_sept_25nov_2021_dbm                      |
| analytics                | aw_sept_25nov_2021_dmgp                     |
| analytics                | aw_sept_oct_2021_dbm                        |
| analytics                | aw_sept_oct_2021_dmgp                       |
| analytics                | awave_30j_au_03oct21                        |
| analytics                | balance_1                                   |
| analytics                | balance_20_mars                             |
| trusted_cdr              | balance_distri                              |
| analytics                | balance_final                               |
| analytics                | balance_final_1                             |
| analytics                | balance_final_2                             |
| analytics                | balance_final_3                             |
| analytics                | balance_final_4                             |
| refined_utilities        | balance_ligne_etat                          |
| analytics                | balance_sem_1                               |
| trusted_om               | balancechannelusers                         |
| trusted_om_ogb           | balancechannelusers                         |
| trusted_om               | balancesubscribers                          |
| crt                      | balchanusers                                |
| crt                      | balfull                                     |
| crt                      | balsubs                                     |
| crt                      | balunion                                    |
| analytics                | base_20_mars                                |
| analytics                | base_ech_nba_nbo                            |
| analytics                | base_ech_nba_nbo_total                      |
| default                  | base_fibre_touba_updated_20221201           |
| default                  | base_fibre_touba_updated_20221201_v2        |
| refined_seter            | base_megawin_08082022                       |
| trusted_sicli            | base_parc_oem_hebdo                         |
| analytics                | base_sample_10                              |
| trusted_sicli            | base_transaction_oem                        |
| analytics                | best_pos                                    |
| refined_tpil             | bh_data_cell                                |
| trusted_cdr              | bonus_transfer                              |
| refined_sicli            | boutique_absolu                             |
| refined_sicli            | boutique_acquisition_sim                    |
| refined_reporting        | bqrfbugyeycohtruzifeuoatoesepi              |
| refined_reporting        | br_marketing                                |
| trusted_flytxt           | broadcast_data                              |
| sys                      | bucketing_cols                              |
| refined_reporting        | bundle_daily_declinaison                    |
| refined_reporting        | bundle_daily_global                         |
| refined_reporting        | bundle_daily_typesouscript                  |
| refined_reporting        | bundle_daily_typesouscript_offre            |
| refined_reporting        | bundle_hebdo_declinaison                    |
| refined_reporting        | bundle_hebdo_global                         |
| refined_reporting        | bundle_hebdo_typesouscript                  |
| refined_reporting        | bundle_hebdo_typesouscript_offre            |
| refined_reporting        | bundle_monthly_declinaison                  |
| refined_reporting        | bundle_monthly_global                       |
| refined_reporting        | bundle_monthly_typesouscript                |
| refined_reporting        | bundle_monthly_typesouscript_offre          |
| trusted_cdr              | c2c_h                                       |
| trusted_sicli            | ca                                          |
| default                  | ca_and_trafic_roaming                       |
| refined_trafic           | ca_and_trafic_roaming                       |
| refined_om               | ca_archive                                  |
| refined_om               | ca_archive_horaire                          |
| refined_om               | ca_archive_horaire2                         |
| refined_om               | ca_archive_horaire_old                      |
| refined_reporting        | ca_box                                      |
| refined_reporting        | ca_box_temporary                            |
| refined_trafic           | ca_consommation                             |
| refined_om               | ca_daily_20221023                           |
| refined_om               | ca_daily_20221107                           |
| refined_om               | ca_daily_20221108                           |
| refined_bm               | ca_data_h                                   |
| refined_om               | ca_om                                       |
| test_dlk                 | ca_roaming_2021_01                          |
| test_dlk                 | ca_roaming_2021_02                          |
| test_dlk                 | ca_roaming_2021_03                          |
| test_dlk                 | ca_roaming_2021_04                          |
| test_dlk                 | ca_roaming_2021_05                          |
| test_dlk                 | ca_roaming_2021_06                          |
| test_dlk                 | ca_roaming_2021_07                          |
| test_dlk                 | ca_roaming_2021_08                          |
| test_dlk                 | ca_roaming_2021_09                          |
| test_dlk                 | ca_roaming_2021_10                          |
| test_dlk                 | ca_roaming_2021_11                          |
| test_dlk                 | ca_roaming_2021_12                          |
| default                  | ca_roaming_test                             |
| default                  | ca_roaming_test_hebdo                       |
| refined_trafic           | ca_tous_conso_202206                        |
| refined_trafic           | ca_tous_conso_202207                        |
| refined_trafic           | ca_tous_conso_202208                        |
| refined_trafic           | ca_tous_conso_202209                        |
| refined_trafic           | ca_tous_conso_202210                        |
| refined_gamingom         | cachincahouton2distric2c_cico2dist_triangle |
| refined_gamingom         | cachincahouton2distrihorsc2c_triangle       |
| refined_cem              | call_establishments                         |
| refined_cem              | call_reiterations                           |
| trusted_flytxt           | campaign                                    |
| default                  | caroaming202109                             |
| default                  | caroaming2021_09_extract                    |
| default                  | caroaming2021_09_new_extract_new            |
| default                  | caroaming2021_10_11                         |
| bda_staging              | cars                                        |
| refined_reporting        | cars_test                                   |
| covid19                  | cas_com                                     |
| analytics                | cash_in_out_05                              |
| analytics                | cash_in_out_05_rank                         |
| analytics                | cash_in_out_06_rank                         |
| analytics                | cash_in_out_08_rank                         |
| analytics                | cash_in_out_1606_2                          |
| analytics                | cash_in_out_2006                            |
| analytics                | cash_in_out_client_distri_monthly           |
| analytics                | cash_in_out_distri_client_monthly           |
| analytics                | cash_in_out_ditri_client_monthly            |
| analytics                | cash_in_out_gaming                          |
| refined_gamingom         | cash_in_out_gaming                          |
| analytics                | cash_in_out_gaming_rank                     |
| refined_gamingom         | cash_in_out_gaming_rank                     |
| analytics                | cash_in_out_gaming_weekly                   |
| refined_gamingom         | cash_in_out_gaming_weekly                   |
| analytics                | cash_in_out_gaming_weekly_rank              |
| refined_gamingom         | cash_in_out_gaming_weekly_rank              |
| analytics                | cash_in_out_mois                            |
| analytics                | cash_in_out_mois2                           |
| analytics                | cash_in_out_mois_export                     |
| analytics                | cash_in_out_monthly_rank                    |
| analytics                | cash_in_out_semaine                         |
| analytics                | cash_in_out_semaine_1                       |
| analytics                | cash_in_out_semaine_2                       |
| analytics                | cash_in_out_semaine_export                  |
| analytics                | cash_in_out_semaine_final                   |
| trusted_om               | cashin                                      |
| analytics                | cashin_cashout_distant                      |
| analytics                | cashin_cashout_distant_final                |
| analytics                | cashin_cashout_distant_sauv                 |
| analytics                | cashin_cashout_distant_test                 |
| analytics                | cashin_cashout_infos                        |
| analytics                | cashin_notfound                             |
| refined_gamingom         | cashincashoutsamedistri_cico1dist           |
| refined_om               | cashindis                                   |
| trusted_om               | cashindistant                               |
| analytics                | cashindistant_day                           |
| analytics                | cashindistant_day_coordonnees               |
| refined                  | cashinom                                    |
| refined_gamingom         | cashinsamedistri                            |
| analytics                | cashout_distant                             |
| analytics                | cashout_distant_sauv                        |
| analytics                | cashout_distant_test                        |
| analytics                | cashout_infos                               |
| analytics                | cashoutdistant_client                       |
| analytics                | cashoutdistant_distri                       |
| refined_gamingom         | cashoutsamedistri                           |
| analytics                | catalogue_pass_illimix                      |
| refined_smartcapex       | cdr_trafic                                  |
| trusted_cdr              | cdrbt                                       |
| trusted_cdr_ogb          | cdrbt                                       |
| trusted_cdr              | cdrcs                                       |
| trusted_cdr              | cdrfixe                                     |
| trusted_cdr              | cdrgh                                       |
| transient_cdr            | cdrgh                                       |
| trusted_cdr_ogb          | cdrgh                                       |
| test_dlk                 | cdrgh                                       |
| transient_cdr            | cdrgh_2019011121                            |
| transient_cdr_ogb        | cdrgh_2020051100                            |
| transient_cdr_ogb        | cdrgh_2020051110                            |
| transient_cdr_ogb        | cdrgh_2020051111                            |
| transient_cdr_ogb        | cdrgh_2020051112                            |
| transient_cdr_ogb        | cdrgh_2020051113                            |
| transient_cdr_ogb        | cdrgh_2020051114                            |
| transient_cdr_ogb        | cdrgh_2020051115                            |
| transient_cdr_ogb        | cdrgh_2020051117                            |
| transient_cdr_ogb        | cdrgh_2020051118                            |
| transient_cdr_ogb        | cdrgh_2020051119                            |
| transient_cdr_ogb        | cdrgh_2020051120                            |
| transient_cdr_ogb        | cdrgh_2020051121                            |
| transient_cdr_ogb        | cdrgh_2020051122                            |
| transient_cdr_ogb        | cdrgh_2020051123                            |
| transient_cdr_ogb        | cdrgh_2020051201                            |
| transient_cdr_ogb        | cdrgh_2020051202                            |
| transient_cdr_ogb        | cdrgh_2020051203                            |
| transient_cdr_ogb        | cdrgh_2020051204                            |
| transient_cdr_ogb        | cdrgh_2020051205                            |
| transient_cdr_ogb        | cdrgh_2020051206                            |
| transient_cdr_ogb        | cdrgh_2020051207                            |
| transient_cdr_ogb        | cdrgh_2020051208                            |
| transient_cdr_ogb        | cdrgh_2020051209                            |
| transient_cdr_ogb        | cdrgh_2020051210                            |
| transient_cdr_ogb        | cdrgh_2020051211                            |
| transient_cdr_ogb        | cdrgh_2020051212                            |
| transient_cdr_ogb        | cdrgh_2020051213                            |
| transient_cdr_ogb        | cdrgh_2020051214                            |
| transient_cdr_ogb        | cdrgh_2020051215                            |
| transient_cdr_ogb        | cdrgh_2020051216                            |
| transient_cdr_ogb        | cdrgh_2020051217                            |
| transient_cdr_ogb        | cdrgh_2020051218                            |
| transient_cdr_ogb        | cdrgh_2020051219                            |
| transient_cdr_ogb        | cdrgh_2020051220                            |
| transient_cdr_ogb        | cdrgh_2020051221                            |
| trusted_cdr              | cdrgh_5g                                    |
| trusted_cdragg           | cdrgh_day                                   |
| trusted_cdragg           | cdrgh_month                                 |
| trusted_cdragg           | cdrgh_month_glissant                        |
| trusted_cdragg           | cdrgh_week                                  |
| trusted_cdragg           | cdrgh_week_glissant                         |
| trusted_cdr              | cdrgr                                       |
| transient_cdr            | cdrgr                                       |
| trusted_cdr_ogb          | cdrgr                                       |
| trusted_cdr              | cdrisgs                                     |
| transient_cdr            | cdrisgs                                     |
| trusted_cdr_ogb          | cdrisgs                                     |
| trusted_cdr              | cdrisgs_enrich                              |
| trusted_cdr              | cdrisgs_ev                                  |
| trusted_cdr              | cdrisgs_evo                                 |
| trusted_cdr              | cdrisgs_evolue                              |
| trusted_cdr              | cdrisgs_old                                 |
| trusted_cdr              | cdrisgs_test                                |
| trusted_cdr              | cdrmobg                                     |
| trusted_cdr              | cdrmobg_01_03_new                           |
| trusted_cdr              | cdrmobg_04_06_new                           |
| trusted_cdr              | cdrmobg_07_09_new                           |
| trusted_cdr              | cdrmobg_old_20220125                        |
| trusted_cdr              | cdrmobg_test                                |
| trusted_cdr              | cdrnm                                       |
| transient_cdr            | cdrnm                                       |
| trusted_cdr              | cdrnm_chinguitel_2020_05                    |
| trusted_cdr              | cdrnm_chinguitel_2020_06                    |
| trusted_cdr              | cdrnm_chinguitel_2020_08                    |
| trusted_cdr              | cdrnm_chinguitel_2020_09                    |
| trusted_cdr              | cdrnm_chinguitel_2020_10                    |
| trusted_cdr              | cdrnm_chinguitel_2020_11                    |
| trusted_cdr              | cdrnm_chinguitel_2020_12                    |
| trusted_cdr              | cdrnm_chinguitel_2021_01                    |
| trusted_cdr              | cdrnm_chinguitel_2021_02                    |
| trusted_cdr              | cdrnm_chinguitel_2021_03                    |
| trusted_cdr              | cdrnm_chinguitel_2021_04                    |
| trusted_cdr              | cdrnm_chinguitel_2021_05_010                |
| trusted_cdr              | cdrnm_chinguitel_2021_05_20                 |
| trusted_cdr              | cdrnm_chinguitel_2021_05_30                 |
| trusted_cdr              | cdrnm_chinguitel_2021_06_10                 |
| trusted_cdr              | cdrnm_chinguitel_2021_06_200                |
| trusted_cdr              | cdrnm_chinguitel_2021_06_30                 |
| trusted_cdr              | cdrnm_chinguitel_2021_07                    |
| trusted_cdragg           | cdrnm_day                                   |
| trusted_cdragg           | cdrnm_month                                 |
| trusted                  | cdrnm_new                                   |
| trusted_cdr              | cdrnm_test                                  |
| trusted_cdragg           | cdrnm_week                                  |
| trusted_cdr_ogb          | cdrnr                                       |
| trusted_cdr              | cdrrcs_activity                             |
| trusted_cdr              | cdrrcs_provision                            |
| trusted_cdr              | cdrrcs_register                             |
| trusted_cdr              | cdrrm                                       |
| transient_cdr            | cdrrm                                       |
| trusted_cdr_ogb          | cdrrm                                       |
| trusted_cdr              | cdrztr                                      |
| transient_cdr            | cdrztr                                      |
| trusted_cdr_ogb          | cdrztr                                      |
| trusted_cdr              | cdrzts                                      |
| trusted_cdr_ogb          | cdrzts                                      |
| default                  | cdrzts_evo                                  |
| trusted_cdr              | cdrztt                                      |
| trusted_cdr_ogb          | cdrztt                                      |
